Country Name,2015,2016,2017,2018,2019,2020
Hungary,107.8569801,107.5391519,107.253627,107.1177296,107.0692636,106.8392395
India,444.931708,450.2357199,455.468934,460.4493174,465.1946394,469.6595667
Ireland,68.25311366,69.0279431,69.78353898,70.65344753,71.62636087,72.36728117
Iran,50.21663167,51.14702657,52.08325177,52.76891341,53.35235871,53.79981079
Iraq,86.97391783,89.1394773,91.26608281,93.49938267,95.74024251,98.02865514
Iceland,3.299900249,3.346024938,3.425436409,3.498175146,3.575949618,3.634463949
Israel,387.2504621,394.9168207,402.6478743,410.4805915,418.3918669,425.836414
Italy,205.3665384,205.0179495,204.7109374,204.3222259,201.9805456,200.9991005
Jamaica,258.0281625,258.7899354,259.3144968,259.6338873,259.8128347,260.4280702
Jordan,106.9412706,112.2398738,115.0639896,117.8178081,120.4888055,123.0794986
Japan,348.8093278,348.6310014,348.345679,347.9039781,347.4156379,346.3950617
Kazakhstan,6.498057562,6.591123088,6.681400156,6.769808497,6.85767789,6.947314887
Kenya,82.31979478,84.15270408,86.00368451,87.76980005,89.52357944,91.34093545
Kyrgyzstan,31.05787278,31.69708029,32.31595412,32.96558916,33.66110532,34.30604797
Cambodia,87.34150804,88.51452527,89.68212667,90.78426241,91.81818491,92.88953093
South Korea,523.5255477,525.3700725,526.7348067,528.9690115,530.3772746,531.1090061
Kuwait,219.3458474,227.1652637,231.4760943,242.2662738,249.2199776,244.6938272
Laos,29.4082279,29.85859185,30.3202643,30.78425477,31.24806326,31.71316724
Lebanon,625.5073314,611.7907136,597.1898338,581.7046921,565.1913001,553.5604106
Liberia,47.8854755,48.85898048,49.79890988,50.76194975,51.75756852,52.81960133
Libya,3.519235141,3.570362708,3.624959364,3.681526422,3.733412142,3.781637246
Sri Lanka,338.8105278,342.5750893,346.468906,350.284495,352.4316946,354.3323634
Lesotho,69.78000659,70.61501976,71.49594862,72.39845191,73.31034256,74.24571805
Lithuania,46.36727853,45.78766642,45.15258377,44.73164618,44.6205206,44.63246567
Luxembourg,221.2518353,226.0722637,231.6353721,236.1466094,240.827591,244.8742649
Latvia,31.77924374,31.49014094,31.21230334,30.97006123,30.75549199,30.53911297
Morocco,77.70660542,78.66292628,79.6059041,80.50080887,81.34530137,82.20652476
